site,out_L,pos,xs_N,xs_CN,CA,ei,mx_D,avg_D,bkf_W,bkf_A,cd_R,wd_R,bkf_R,bkf_L
site_7,ds_hx11,downstream,pool,xs3,42.380054,0.03045469,1.237,0.706,8.806,7.404,3.639,7.119,32.691,32.587
site_7,ds_hx11,downstream,riffle,xs4,42.380054,0.03045469,0.611,0.377,4.891,2.132,9.385,8.004,32.132,32.419
site_7,ds_hx11,downstream,pool,xs5,42.380054,0.03045469,1.835,1.129,3.946,5.676,4.098,2.15,32.288,32.433
site_7,ds_hx11,downstream,riffle,xs6,42.380054,0.03045469,0.791,0.504,4.975,3.101,7.434,6.289,32.484,32.105
site_7,ds_hx11,downstream,pool,xs7,42.380054,0.03045469,1.003,0.587,2.783,2.111,6.629,2.775,32.473,31.888
site_7,ds_hx11,downstream,riffle,xs8,42.380054,0.03045469,0.598,0.304,4.422,1.65,10.431,7.394,32.091,31.896
site_7,ds_hx11,downstream,pool,xs9,42.380054,0.03045469,1.375,0.635,4.319,3.348,4.874,3.141,31.996,31.816
site_8,us_hx12,upstream,riffle,xs8,42.380054,0.03045469,1.007,0.655,5.635,4.223,6.058,5.596,30.852,31.245
site_8,us_hx12,upstream,pool,xs7,42.380054,0.03045469,1.675,1.166,4.511,5.957,4.118,2.693,30.978,31.177
site_8,us_hx12,upstream,riffle,xs6,42.380054,0.03045469,0.872,0.481,3.319,1.95,7.267,3.806,30.588,31.061
site_8,us_hx12,upstream,pool,xs5,42.380054,0.03045469,1.388,0.808,4.656,4.26,4.473,3.355,30.659,30.696
site_8,us_hx12,upstream,riffle,xs4,42.380054,0.03045469,0.722,0.452,3.281,1.76,7.691,4.544,30.88,30.697
site_8,us_hx12,upstream,pool,xs3,42.380054,0.03045469,1.364,0.769,4.763,4.175,4.647,3.492,30.82,31.06
site_8,us_hx12,upstream,riffle,xs2,42.380054,0.03045469,0.683,0.343,2.66,1.218,8.968,3.894,30.545,30.703
site_8,us_hx12,upstream,pool,xs1,42.380054,0.03045469,1.627,1.023,4.75,5.349,3.96,2.92,30.8,30.837
site_8,ds_hx12,downstream,riffle,xs1,42.568412,0.03518928,1.006,0.557,4.673,2.937,4.713,4.645,30.809,30.659
site_8,ds_hx12,downstream,pool,xs2,42.568412,0.03518928,2.152,1.324,5.465,7.711,3.25,2.54,31.231,30.949
site_8,ds_hx12,downstream,riffle,xs3,42.568412,0.03518928,0.704,0.444,2.991,1.525,8.354,4.249,30.592,30.772
site_8,ds_hx12,downstream,pool,xs4,42.568412,0.03518928,1.555,0.866,4.081,4.458,3.974,2.625,30.594,30.835
site_8,ds_hx12,downstream,riffle,xs5,42.568412,0.03518928,0.808,0.405,3.277,1.644,6.631,4.056,30.535,30.619
site_8,ds_hx12,downstream,pool,xs6,42.568412,0.03518928,2.024,1.233,6.754,8.744,3.055,3.337,30.988,30.995
site_8,ds_hx12,downstream,riffle,xs7,42.568412,0.03518928,0.804,0.454,4.483,2.391,6.989,5.576,30.871,30.831
site_8,ds_hx12,downstream,pool,xs8,42.568412,0.03518928,0.961,0.551,4.026,2.825,5.944,4.19,30.378,30.485
site_9,us_hx13,upstream,riffle,xs8,42.568412,0.03518928,0.652,0.316,4.03,1.329,6.529,6.18,29.868,30.005
site_9,us_hx13,upstream,pool,xs7,42.568412,0.03518928,1.28,0.596,3.968,3.042,3.326,3.1,29.7,29.978
site_9,us_hx13,upstream,riffle,xs6,42.568412,0.03518928,0.91,0.346,2.682,1.336,4.218,2.947,29.754,29.98
site_9,us_hx13,upstream,pool,xs5,42.568412,0.03518928,1.707,0.777,5.064,4.715,2.959,2.967,30.13,29.816
site_9,us_hx13,upstream,riffle,xs4,42.568412,0.03518928,0.759,0.377,2.757,1.244,5.868,3.632,29.652,29.702
site_9,us_hx13,upstream,pool,xs3,42.568412,0.03518928,1.112,0.505,2.978,2.739,3.665,2.678,29.795,29.803
