site,out_L,pos,CA,ei,xs_N,xs_CN,mx_D,avg_D,bkf_W,bkf_A,cd_R,wd_R,bkf_R,bkf_L,xs_D,lwd_N,pool_D,riffle_D
site_8,us_hx12,upstream,42.380054,0.03045469,riffle,xs8,1.007,0.655,5.635,4.223,6.058,5.596,30.852,31.245,,,,
site_8,us_hx12,upstream,42.380054,0.03045469,pool,xs7,1.675,1.166,4.511,5.957,4.118,2.693,30.978,31.177,4.430,0.451,,
site_8,us_hx12,upstream,42.380054,0.03045469,riffle,xs6,0.872,0.481,3.319,1.95,7.267,3.806,30.588,31.061,4.024,0.497,,8.454
site_8,us_hx12,upstream,42.380054,0.03045469,pool,xs5,1.388,0.808,4.656,4.26,4.473,3.355,30.659,30.696,16.987,0.235,21.011,
site_8,us_hx12,upstream,42.380054,0.03045469,riffle,xs4,0.722,0.452,3.281,1.76,7.691,4.544,30.88,30.697,5.102,0.392,,22.089
site_8,us_hx12,upstream,42.380054,0.03045469,pool,xs3,1.364,0.769,4.763,4.175,4.647,3.492,30.82,31.06,4.917,0.407,0.799,
site_8,us_hx12,upstream,42.380054,0.03045469,riffle,xs2,0.683,0.343,2.66,1.218,8.968,3.894,30.545,30.703,6.090,0.657,,11.007
site_8,us_hx12,upstream,42.380054,0.03045469,pool,xs1,1.627,1.023,4.75,5.349,3.96,2.92,30.8,30.837,6.825,0.147,0.803,
site_8,ds_hx12,downstream,42.568412,0.03518928,riffle,xs1,1.006,0.557,4.673,2.937,4.713,4.645,30.809,30.659,,,,
site_8,ds_hx12,downstream,42.568412,0.03518928,pool,xs2,2.152,1.324,5.465,7.711,3.25,2.54,31.231,30.949,12.322,0.162,,
site_8,ds_hx12,downstream,42.568412,0.03518928,riffle,xs3,0.704,0.444,2.991,1.525,8.354,4.249,30.592,30.772,12.849,0.623,,25.171
site_8,ds_hx12,downstream,42.568412,0.03518928,pool,xs4,1.555,0.866,4.081,4.458,3.974,2.625,30.594,30.835,26.086,0.345,38.935,
site_8,ds_hx12,downstream,42.568412,0.03518928,riffle,xs5,0.808,0.405,3.277,1.644,6.631,4.056,30.535,30.619,15.063,0.266,,41.149
site_8,ds_hx12,downstream,42.568412,0.03518928,pool,xs6,2.024,1.233,6.754,8.744,3.055,3.337,30.988,30.995,19.318,0.259,34.381,
site_8,ds_hx12,downstream,42.568412,0.03518928,riffle,xs7,0.804,0.454,4.483,2.391,6.989,5.576,30.871,30.831,23.046,0.260,,42.364
site_8,ds_hx12,downstream,42.568412,0.03518928,pool,xs8,0.961,0.551,4.026,2.825,5.944,4.19,30.378,30.485,8.368,0.717,31.414,
site_9,us_hx13,upstream,42.568412,0.03518928,riffle,xs8,0.652,0.316,4.03,1.329,6.529,6.18,29.868,30.005,,,,
site_9,us_hx13,upstream,42.568412,0.03518928,pool,xs7,1.28,0.596,3.968,3.042,3.326,3.1,29.7,29.978,21.382,0.187,,
site_9,us_hx13,upstream,42.568412,0.03518928,riffle,xs6,0.91,0.346,2.682,1.336,4.218,2.947,29.754,29.98,8.939,0.447,,30.321
site_9,us_hx13,upstream,42.568412,0.03518928,pool,xs5,1.707,0.777,5.064,4.715,2.959,2.967,30.13,29.816,10.276,0.000,19.215,
site_9,us_hx13,upstream,42.568412,0.03518928,riffle,xs4,0.759,0.377,2.757,1.244,5.868,3.632,29.652,29.702,10.184,0.098,,20.460
site_9,us_hx13,upstream,42.568412,0.03518928,pool,xs3,1.112,0.505,2.978,2.739,3.665,2.678,29.795,29.803,29.558,0.068,39.742,
site_9,us_hx13,upstream,42.568412,0.03518928,riffle,xs2,0.817,0.36,3.456,1.486,4.895,4.23,29.638,29.722,11.271,0.177,,40.829
site_9,us_hx13,upstream,42.568412,0.03518928,pool,xs1,1.101,0.53,4.332,2.475,3.659,3.935,29.941,29.756,9.106,0.000,20.377,
site_9,ds_hx13,downstream,42.66919,0.03605174,riffle,xs1,1.148,0.629,5.133,3.816,3.599,4.471,29.923,29.732,,,,
site_9,ds_hx13,downstream,42.66919,0.03605174,pool,xs2,1.416,0.776,4.877,4.365,2.941,3.444,30.066,29.669,10.200,0.000,,
site_9,ds_hx13,downstream,42.66919,0.03605174,riffle,xs3,0.93,0.513,4.035,2.538,4.131,4.339,29.672,29.632,37.949,0.000,,48.149
site_9,ds_hx13,downstream,42.66919,0.03605174,pool,xs4,1.217,0.784,3.933,3.504,3.116,3.232,29.53,29.721,14.926,0.000,52.875,
site_9,ds_hx13,downstream,42.66919,0.03605174,riffle,xs5,0.905,0.475,6.908,3.463,3.707,7.633,29.655,30.12,32.700,0.031,,47.626
site_9,ds_hx13,downstream,42.66919,0.03605174,pool,xs6,1.695,0.944,6.84,6.798,2.431,4.035,29.817,30.117,8.162,0.123,40.862,
site_9,ds_hx13,downstream,42.66919,0.03605174,riffle,xs7,0.819,0.232,3.853,1.791,3.939,4.704,29.431,29.941,11.069,0.181,,19.231
site_9,ds_hx13,downstream,42.66919,0.03605174,pool,xs8,2.281,1.257,7.277,8.898,1.885,3.19,29.918,29.794,7.755,0.129,18.824,
site_10,us_hx14,upstream,42.66919,0.03605174,riffle,xs4,1.142,0.707,7.695,5.749,2.775,6.738,29.913,30.033,7.876,0.000,,
site_10,us_hx14,upstream,42.66919,0.03605174,pool,xs3,1.826,1.098,5.311,7.207,2.093,2.909,29.522,29.676,11.119,0.090,18.995,
site_10,us_hx14,upstream,42.66919,0.03605174,riffle,xs2,0.778,0.449,6.803,3.392,3.028,8.744,29.501,29.446,8.747,1.372,,19.866
site_10,us_hx14,upstream,42.66919,0.03605174,pool,xs1,1.244,0.527,5.243,3.92,2.63,4.215,29.417,29.301,7.722,0.130,16.469,
site_10,ds_hx14,downstream,43.307658,0.04324101,pool,xs1,0.644,0.365,7.903,3.064,5.606,12.272,29.2,29.377,,,,
site_10,ds_hx14,downstream,43.307658,0.04324101,riffle,xs2,0.986,0.288,4.786,1.574,3.662,4.854,29.041,28.892,29.058,0.000,,
